Nutrient,lower,upper,unit
Calcium,1300 mg,3000 mg,mg
Carbohydrate,465 g,671 g,g
Choline,550 mg,3000 mg,mg
Copper,890 mcg,8000 mcg,mcg
Energy,4132 kcal,,kcal
Fat,115 g,161 g,g
Fluoride,3000 mcg,10000 mcg,mcg
Folate,400 mcg,800 mcg,mcg 
Iron,11 mg,45 mg,mg
Magnesium,410 mg,,mg 
Manganese,2200 mcg,9000 mcg,mcg
Niacin,16 mg,30 mg,mg 
Phosphorus,1250 mg,4000 mg,mg
Potassium,3000 mg,,mg
Protein,77 g,,g
Riboflavin,1.3 mg,,mg
Selenium,55 mcg,400 mcg,mcg
Sodium,1500 mg,,mg
Thiamin,1.2 mg,,mg
Total Fiber,38 g,,g
Vitamin A,900 mcg,2800 mcg,mcg 
Vitamin B6,1.3 mg,80 mg,mg
Vitamin B12,2.4 mcg,,mcg
Vitamin C,75 mg,1800 mg,mg
Vitamin D,15 mcg,100 mcg,mcg
Vitamin E,15 mg,800 mg,mg 
Vitamin K,75 mcg,,mcg
Water,,,g
Zinc,11 mg,34 mg,mg